  
  Module ID	Epic/Feature	Module Name	Description	Dependencies	Priority	Owner	Estimated Effort	User Story	Acceptance Criteria	Backend task
M000		Setup course	"Setup course on the KPOINT domain. 
Indexing of the videos on prism"		P0	SA	DONE	-	1. All the courses are avaialable on the KPOINT domain and are indexed in the prism server.	"1. Index course in Prism server
2. Set up video metadata properties
3. Configure video chapters/segments
4. Set up transcript indexing
5. Create course-level embeddings"
M001	Platform Foundation	User Authentication	Login/signup system with session management	None	P0			As a student, I want to log in securely so that my learning progress is saved	"1. User can sign up with email/phone
2. User can log in
3. Session persists across refreshes
4. Password reset works"	"1. User table schema setup
2. JWT token generation/validation
3. Session management API
4. Password hashing service"
M002	Platform Foundation	Main Dashboard Shell	Primary layout with sidebar navigation and chat area	M001	P0			As a student, I want a clean interface to navigate between courses and chat	"1. Sidebar shows 'New Course' button
2. 'My Courses' section visible
3. Main chat area loads
4. Responsive on mobile"	"1. Dashboard layout API
2. User preferences storage
3. Session state management"
M003	Platform Foundation	Course List Display	"Show enrolled courses with progress indicators

Separate this out"	M002	P1			As a student, I want to see my courses and their progress status	"1. Courses show title and duration
2. Progress bar visible (In Progress/Yet to start)
3. Clickable to enter course"	
M004 -A	AI Companion	Welcome System | Course Discovery Context	Welcome messages for users browsing/exploring courses (not yet inside a course)	M002	P0	PS		As a student exploring courses, I want helpful guidance to find the right course for me	"1. Displays appropriate welcome based on user state (new/returning/post-completion)
2. Offers relevant suggested actions (Explore/Recommend/Search)
3. Audio playback option available
4. Message dismissible, doesn't block navigation"	
M004 -B		Welcome System | Course Level Context	Welcome messages when student enters a specific course		P0	PS		As a student entering a course, I want to understand what I'll learn and where to start	"1. Shows course name, objectives, and current progress status
2. Offers recap option if returning after >3 days gap
3. Suggested actions shown (Start/Continue/Outline)
4. Audio playback option available"	
M004 -C		Welcome System | Topic Level Context	Welcome messages when student enters or resumes a specific topic		P0	PS		As a student entering a topic, I want acknowledgment of my progress and guidance on what's next	"1. Acknowledges previous topic completion or current resume position
2. Offers recap option if resuming after gap
3. Suggested actions shown (Continue/Restart/Recap/Practice)
4. Audio playback option available"	
M005	AI Companion	Text Chat Interface	ChatGPT-style conversational UI for text interactions	M002	P1			As a student, I want to type questions and get AI responses	"1. Text input field at bottom
2. Messages display in conversation flow
3. AI responses render properly
4. Scroll behavior works"	
M006-A	AI Companion	Voice Input (Tap to Talk)	Voice-based conversational interaction	M005	P0	AP		As a student, I want to speak my questions for hands-free learning	"1. Tap to talk button activates mic
2. Audio captured and transcribed.
3. Text transcript is also shown in the conversational space.
4. Visual feedback during recording.
"	
M006-B		 Voice Commands | Command Handlers	Voice commands to control video playback (play, pause, resume, stop)		P1			As a student, I want to say "start playing", "continue to video", or "sure" and have the action performed	"1. Video, navigation, and prompt voice commands execute correctly (English + Hindi)
2. Visual confirmation shown on command recognition
3. Error feedback if action fails"	
M007	AI Companion	Text-to-Speech Playback	AI responses can be played as audio	M005	P1			As a student, I want to hear AI responses spoken aloud	"1. Speaker icon on each AI message
2. Click plays audio of message
3. Audio stops when clicked again"	
M008-A	Course Management	Sidebar - Course Navigation 	Expandable module/lesson tree in sidebar	M008	P0			As a student, I want to navigate between modules and lessons easily	"1. Modules expand/collapse
2. Lessons show status (Completed/In Progress/Seen/Attempted)
3. Progress percentage per module
4. Lesson types identified (Lecture/Quiz/Flashcards)"	
M008-B		Sidebar - New Course Button	Ability to add/explore new courses	M002	P0			As a student, I want to discover and enroll in new courses	"1. '+ New Course' button in sidebar
2. Opens course catalog/exploration
3. Shows 'Explore New Course' tooltip"	
M009	Course Management	Lesson Progress Tracking	Track and persist completion status of each lesson	M009	P0			As a student, I want my progress saved so I can resume later	"1. Completed lessons marked green
2. In-progress marked yellow
3. Progress syncs to backend
4. Resume from last position"	
M010	Video Learning	Video Player Component	Embedded video player with standard controls	M008	P0	PS		As a student, I want to watch lecture videos within the platform	"1. Play/pause functionality
2. Skip forward/back
3. Volume control
4. Fullscreen option
5. Progress bar with seek"	
M011	Video Learning	Video Timeline Markers	Colored dots on timeline indicating key moments(Highlight)	M011	P1	SA		As a student, I want to see important points on the video timeline	"1. Green/Yellow/Red/Blue dots on scrubber
2. Dots clickable to jump to moment
3. Tooltip shows context on hover"	
M012	Video Learning	AI Monitoring Badge	Visual indicator that AI is monitoring video content	M011	P2			As a student, I want to know when AI can help me with current content	"1. 'AI Monitoring' badge visible during playback
2. Badge is green/active state
3. Positioned on video player"	
M013	Video Learning	Video Comments	Add comments section below video	M011	P2			As a student, I want to leave comments or notes on videos	"1. 'Add Comments' input field
2. Submit button (paper plane icon)
3. Comments display below video"	
M014	Retrieval Practice	Lesson Transition Prompt	AI prompts warm-up before new lesson	M010	P1			As a student, I want a quick recap before diving into new content	"1. AI message after lesson completion
2. Offers 20-second warm-up option
3. 'Sure' / 'Continue to video' buttons"	
M015	Retrieval Practice	Post lesson completion quiz(Formative Assessment)	Quick MCQ to activate prior knowledge	M015	P1	PS		As a student, I want quick questions to refresh my memory	"1. Student pause the video and types/asks a question 
2. Question displayed clearly
3. Multiple choice options (A, B, C)
4. Submit button
5. Can include 'I don't remember' option"	
M016	Retrieval Practice	Immediate Feedback on Answer	AI confirms correct/incorrect with explanation	M016	P1	PS		As a student, I want to know immediately if my answer was right	"1. Correct answer highlighted
2. AI explains why answer is correct
3. Transition prompt to continue video"	
